"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Procurement","","","","2015","2015","01","Combat Aircraft","","Yes
","15","17","01","60","Funds are available due to savings resulting from refurbishment of platform Government Furnished Equipment (GFE) versus procurement of new equipment and delaying production of cut-in platform capabilities. This is base budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2015","2015","02","Airlift Aircraft","0708610F","Supportability Modification installations for radar absorbing material is being completed more cost-","15","17","02","130","Funds are available because prior year contract negotiation savings were applied to FY 2015 MC-130J aircraft requirements. All other FY 2015 program requirements have been met, making these funds available for other priorities. This funding is available in addition to the $12.0 million rescission proposed by the House in section 8041 of H.R. 5293. This is base budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"Missile Procurement","","","","2016","2022","02","Other Missiles","","Guided MLRS Rocket (GMLRS)","296,602","15","17","10.465","Funds are required to procure 91 GMLRS to replace rockets expended in theater in support of Operation FREEDOM’S SENTINEL (OFS) and Operation INHERENT RESOLVE (OJR). The GMLRS rockets provide 24/7, all-weather precision fires to engage both area and point targets at short, medium, and long ranges. This is an OCO budget requirement.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2018","2018","05","Modification of Inservice Aircraft","","Yes
","148,998","15","17","4,000","Funds are required to modify 18 A-10 aircraft with the Lightweight Airborne Recovery System (LARS)/Combat Survivor Evader Locator (CSEL) in advance of deployment for combat operations in the U.S. Central Command (USCENTCOM) theater. The current LARS/CSEL only provides location data, not radio communication, and can be easily jammed. The FY 2017 Overseas Contingency Operation (OCO) request includes funding to modify the remainder of the Active Duty fleet; the Air National Guard and Air Force Reserve fleet modifications have already been completed. If funding is not received, time to locate/recover downed personnel could increase, along with increased risk of injury, death, or hostage situations. This is an OCO budget requirement.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2016","2022","02","Special Operations Command","","Yes
","53,400","15","17","53.400","Funds are required to procure four Targeting Over Non-accessible Terrain Outside of the declared Theater of Active Armed Conflict (ODTAAC) (TONTO) systems for installation as Government Furnished Equipment on MQ-9 aircraft. The TONTO systems will help mitigate Special Operations Forces shortfalls in Intelligence, Surveillance, and Reconnaissance (ISR) capabilities. Additional classified details will be provided under separate cover. This is an OCO budget requirement.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2015","2015","03","Other Support Equipment","","","9","15","17","9,000","Funds are available due to four fewer Force Provider modules being needed to replace battle losses and washouts. The budget projected that 12 Force Provider modules would be required to replace battle losses and washouts based on historical experience; however, washout rates for FY 2015 were lower than anticipated with only 8 of the 12 battle losses realized. This is Title IX OCO budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","Army","","","06","Aircraft Spares and Repair Parts","","","4,000","15","17","4,000","Funds are available due to an updated engine spares analysis, which indicates existing engine spare quantities are sufficient to maintain the current E-11A aircraft fleet size. This is Title IX OCO budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"Operation and Maintenance","","","Army","2016","2022","04","Administration and Servicewide Activities","","Defense Security Cooperation Agency
","486,000","15","16","486,000","Funding is available from the Coalition Support Fund due to lower than projected reimbursements to coalition partners and a reduced Coalition Readiness Support Program. This is Title XX OCO budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","Defense-Wide","","","03","Amphibious Ships","","","4","14","18","24","Funds are required to liquidate the additional share of shipyard overhead allocated to Expeditionary Mobile Base 4 under the current Shipbuilding Capability Preservation Agreement (SCPA) with the National Steel and Shipbuilding Company. Beginning in calendar year 2016, the Department’s update to the current SCPA no longer allows spreading SCPA-related overhead charges to Navy ship repair contracts; therefore, all SCPA related charges are allocated to ship construction projects consistent with Title 10 United States Code section 7315. This is a base budget requirement.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2016","2022","07","Aircraft Support Equipment and Facilities","","Yes
","14","16","07","1,214,013","Funds are required to conduct risk reduction analysis of efforts necessary to keep the E-3A aircraft operational until 2035. The risk reduction analysis will consider cooperative efforts with the US. E-3 fleet and potential Foreign Military Sales (FMS) solutions to reduce the cost to the U.S. Air Force for future modernization. If funds are not received, the NATO E-3A AWACS (Airborne Warning and Control System) will not be upgraded in time to meet the crypto modernization mandate to re-host the crypto on board. This will result in loss of interoperability with the U.S. AWACS putting further","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2014","2014","01","Combat Aircraft","","Yes
","14","16","01","1,028,415","Funds are available due to negotiated contract savings and associated efficiencies with FY 2014 production and various support contracts. This is base budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
"","","","","2014","2014","04","Other Aircraft","","Yes
","14","16","04","22","Funds are available due to procuring all budgeted requirements for less than expected. All other FY 2014 program requirements have been met, making these funds available for other priorities. This is base budget funding.","16-22_PA_Omnibus_2016_Final.pdf"
