"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2023","2010","","","","Yes","106,005","5,005","141","5","Funds are required for the following:","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","","2023","2010","","","","Yes
","193","84","10,884","141","Funds are required to support a three-phase demonstration using initial Adaptive Airborne Enterprise (A2E) capabilities to control multiple Intelligence, Surveillance, and Reconnaissance (ISR) assets with a common control station. United States Special Operations Command (USSOCOM) has a requirement for acceleration of the development of A2E capabilities leveraging the MQ-9 Weapon System as the initial host platform. These efforts will include development of a Modular Open-System Architecture (MOSA) and collaboration environments to facilitate a more efficient, expeditious, and platform-agnostic integration and fielding of Special Operations Forces-peculiar (SOF-p) ISR capabilities. This is a congressional special interest item.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","","2023","2010","01","Tactical and Support Vehicles","0605047A","ARMY DECREASES
","22","24","01","19,246","Funds are available due to supply chain shortages and a limited availability of vehicles that can be ordered from General Services Administration contractor. This is a congressional special interest item.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","","2023","2010","05","Modification of Aircraft","0602792N","NAVY DECREASES -
","22","24","05","130","Funds are available due to cost avoidance resulting from the Navy being able to utilize Air Force flight test data versus executing dedicated flight test data. The proposed reduction is not intended to reduce the total resources available over the life of the program, but to re-phase the funding to the appropriate fiscal year for execution. Additional funding to support the program will be addressed in a future budget submission. This is a congressional special interest item.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","","2023","2010","05","Modification of Inservice Aircraft","","HASC denied
","406,005","5,005","22","24","Funds are available from the programs below because they are excess to need due to planned A-10 divestiture. In accordance with 10 U.S.C. 2244a, the Air Force will not modify aircraft that are planned for retirement within five years of the modification date. The Air Force is retaining and executing funds required to ensure the A-10 is safe and operationally viable through divestiture. There are no other known program requirements for the funding at this time and no impacts to the program.","23-10_PA_Omnibus_Request_Implemented.pdf"
"RDTE","","","","2023","2010","","","","DEFENSE-WIDE DECREASES
","141","5","1","61","Funds are available due to technical challenges with the Modular Compact High Energy Laser requirement resulting in significant schedule delays. This is a congressional special interest item.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","","2022","2022","01","Major Equipment","","DEFENSE-WIDE INCREASE
","22","24","01","510,896","Funds are required for Warstopper program purchases of automated paint line equipment for fitted covers to reduce production lead times in support of contingency operations. This is a new start. The total cost of this effort is $5.446 million. The additional funding is requested under Part I ($0.602 million)","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","Defense-Wide","2023","2010","01","Major Equipment","","DEFENSE-WIDE DECREASE
","22","24","01","510,896","Funds are available from automated metrology equipment for wafer test inspection of emulated microcircuits due to sufficient industry capacity for surge requirements.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","Defense-Wide","2021","2021","01","Major Equipment","","DEFENSE-WIDE INCREASE
","21","23","01","390,459","Funds are required for Warstopper program purchases of automated paint line equipment for fitted covers to reduce production lead times in support of contingency operations. This is a new start. The total cost of this effort is $5.446 million. The additional funding is requested under Part I ($0.602 million)","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","Defense-Wide","2023","2010","01","Major Equipment","","DEFENSE-WIDE DECREASE
","21","23","01","390,459","Funds are available from the automated metrology equipment for wafer test inspection of emulated microcircuits due to sufficient industry capacity for surge requirements. This is base budget funding.","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","Defense-Wide","2022","2022","05","Auxiliaries, Craft, and Prior-Year Program Costs","","NAVY INCREASE
","18","27","05","6,800","Funds are required to finance additional FY 2022 calendar year economic price adjustments (EPA) ($1.6 million) and expected FY 2023 calendar year EPA ($5.2 million) on USS Harvey Milk (T-AO 206). T-AO 206 delivers in June 2023 and has an obligation and work limiting date (OWLD) of August 2024. Because of the upcoming delivery date and FY 2024 OWLD, the Department cannot request","23-10_PA_Omnibus_Request_Implemented.pdf"
"","","","Navy","2018","2018","05","Auxiliaries, Craft, and Prior-Year Program Costs","","NAVY DECREASE
","18","27","05","6,800","Funds are available due to the Department not awarding three FY 2018 service craft (one fuel oil barge (YON) and two waste oil barges (YWO)). Per Navy Financial Policy, Shipbuilding and Conversion, Navy funds are not extended beyond the 5-year limitation for new scope obligations for service craft. These funds are not available to award any further service craft in FY 2018. This is a congressional special interest item.","23-10_PA_Omnibus_Request_Implemented.pdf"
