"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2017","2016","01","Pay and Allowances of Officers","","Includes Transfer
Yes
","17","17","01","2,808,681","Funds are available in the following programs: o $-18.4 million due to 102 fewer Reserve officer mobilizations. The Marine Corps projects the","17-16_PA_June_2017_Request.pdf"
"Operation and Maintenance","","","","2017","2017","01","Operating Forces","","Capital Fund cash balances to Operation and Maintenance appropriation accounts as determined by the","336,000","17","17","336,000","Funds are required to restore funding to those programs used as sources for the reduction included in section 8118 (excess cash balances in the Department of Defense Working Capital Funds) of division C of Public Law 115-31, the Department of Defense Appropriations Act, 2017. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2016","2016","04","Support Equipment and Facilities","0604820A","Modification of In-Svc Equipment (OPA-3)","21.887","16","18","3,000","Funds are required to upgrade to the existing ASR-8 surveillance radar to comply with Federal Aviation Administration requirements due to closely located commercial airfield. The Army has also signed a Memorandum of Agreement with the Air Force to fund 50 percent of the upgrade. This represents Army's share. This is a new start. The estimated total cost of this new start effort is $6.0 million (FY 2016, Army $3.0 million; FY 2017, Air Force $3.0 million in Part 1 on page 11 of this reprogramming request","17-16_PA_June_2017_Request.pdf"
"Procurement","","","","2018","2018","01","Ammunition","0401319F","Includes Transfer
Yes
","16","18","01","653,987","Funds are required to accelerate fielding of an interim F-35A weapon capability that enables engagement of moving targets by the 4"" quarter of FY 2018. This capability is required for Air-to-Surface combat missions. Funds will procure GBU-49 Enhanced Paveway test assets, support equipment, Qualification Operational Test and Evaluation activities, and 400 guidance kits. The GBU-49 is physically, mechanically, and electronically similar to the GBU-12 and the UK Paveway IV (both in final F-35A certification), existing certification procedures can be used to integrate the GBU-49 without negatively impacting the F-35 System Development and Demonstration schedule. This is a new start. The total estimated cost of this new start is $116.0 million, FY 2016, $44.0 million; FY 2018, $72.0 million) for 1200 GBU-49 guidance kits. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"Procurement","","","","2016","2016","02","Weapons and Other Combat Vehicles","0605812A","Small Arms Equipment (Soldier Enh Prog)","21,887","16","18","3,564","Funds are available due to the lack of initiatives for the FY 2016 Soldier Enhancement Program (SEP). The SEP Council of Colonels only approved two initiatives in FY 2016. There are no other FY 2016 SEP initiatives. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"","","","","2016","2016","02","Airlift Aircraft","0605221F","UH-IN REPLACEMENT HELICOPTER
","297","690","295,328","16","Funds are available due to contract savings because the program was able to successfully hold requirements stable, and no engineering change proposals were needed. All other FY 2016 program requirements have been met, making these funds available for other priorities. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"RDTE","","","","2017","2016","05","System Development and Demonstration","","Includes Transfer
Yes
","16","17","05","060","Funds are available due to the Three Dimensional Expeditionary Long-Range Radar multi-year contract award protests and the availability of Special Defense Acquisition Fund support for exportability efforts on Small Diameter Bomb II. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","03","Electronics and Telecommunications Equipment","","Includes Transfer
Yes
","126,012","122,361","16","18","Funds are required to procure additional Battlefield Airborne Communication Node (BACN) ground station support (Payload Control Elements Mission/Launch [PCE-M/L]) equipment to meet unforeseen urgent changes to Air Force Central (AFCENT) requirements. The BACN provides secure voice bridges, which are desperately required by ground and air units executing missions in the CENTCOM Area of Responsibility (AOR). Fielding additional ground stations will mitigate increased risk of mission degradation or failure due to equipment non-availability. This is an OCO budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2017","05","Modification of Inservice Aircraft","0401314F","TACOM is restructuring their fleet and procurement plans and they are not buying many of these vehicles","72,361","16","18","05","Funds are available due to the contractor not meeting Federal Acquisition Regulation (FAR) 52.219-5(d) and FAR 52.219-14 after award of the HC-130H Retardant Delivery Service (RDS) modification contract. The contract was terminated in March 2017. The C-130 RDS program is currently in source selection with the contract award scheduled in December 2017. Funding for this requirement will be submitted in a future request. This is a base budget funding.","17-16_PA_June_2017_Request.pdf"
"Operation and Maintenance","","","","2017","2016","04","Administration and Servicewide Activities","","Defense Security Cooperation Agency
","16","17","04","860,000","Funding is available from the Coalition Support Fund due to lower than projected reimbursements to coalition partners and a reduced Coalition Readiness Support Program. This is Title XX OCO budget funding.","17-16_PA_June_2017_Request.pdf"
"Missile Procurement","","","Defense-Wide","2017","2016","02","Other Missiles","","Lethal Miniature Aerial Missile Systems (LMAMS)","15","17","02","325","Funds are required to address a Joint Urgent Operational Need (JUON) to provide a man- portable, organic, direct-fire, precision-guided, loitering aerial missile system capable of engaging unarmored enemy personnel that otherwise cannot be engaged by typical direct fire weapons systems, the Lethal Miniature Aerial Missile System (LMAMS). The Joint Staff validated this requirement (SSUONS CC-0556). This funding procures 136 all-up rounds, 9 fire control units, and 8 training simulators. The total request in support of CC-0556 in this reprogramming action is $46.6 million: $36.7 million in Part I on page 26 and $9.9 million in Part VI on page 48. This is an OCO budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2016","2016","04","Other Base Maintenance and Support Equipment","","Includes Transfer
Yes
","15","17","04","13,342","Funds are required to procure 475 AN/PVS-31 Binocular Night Vision devices to replace inoperable, damaged, and outdated devices for Air Mobility Liaison Officer (AMLO) and Contingency Response Force (CRF) deployment units. The AMLO provides close air support to deployed Army and Marine Corps combat units for fixed-wing air movement, maneuver and sustainment. The CRF provide air component support to Joint Task Force Port Opening operations. A lack of night vision capability significantly decreases combat effectiveness in night conditions, risk flight and ground safety, and increase the probably of personnel injury and equipment damage. This is a base budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2016","2016","02","Modification of Aircraft","","Includes Transfer
Yes
","15","17","02","90,380","Funds are available due to a change in AH-64 Apache and UH-60M Blackhawk helicopter Improved Data Modem (IDM) integration and hardware requirements. The IDM effort was subsequently financed with FY 2016 Aircraft Procurement, Army funds. The effort is complete. There are no further requirements for the remaining unobligated FY 2015 AP,A funds. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2003","05","Modification of Inservice Aircraft","","Includes Transfer
Yes
","15","17","05","5","Funds are available due to unrealized C-5 Reliability Enhancement and Re-Engining Over and Above legacy related repairs for the final production lot. These savings are in addition to the $-49.0 million that was approved for reprogramming in FY 17-03 PA. This is base budget funding.","17-16_PA_June_2017_Request.pdf"
"","","","","2017","2016","02","Vehicular Equipment","","Tactical C-E Equipment
","4,283","15","17","4,283","Funds are required for 31 Light Support Service Vehicles (LSSV) for Air Force Special Operations Command 8th Special Tactics units. The LSSV meets requirements for deployable locations and conditions replacing unserviceable M1008 commercial utility cargo vehicles. This is an OCO budget requirement.","17-16_PA_June_2017_Request.pdf"
"","","","","2015","2015","05","Modification of Inservice Aircraft","","","15","17","05","130","Funds are available due to all HC-130J Situational Awareness modification interim contractor support requirements being fulfilled. All other FY 2015 program requirements have been met, making these funds available for other priorities. This is Title XX OCO budget funding.","17-16_PA_June_2017_Request.pdf"
