"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2014","2011","01","Pay and Allowances of Officers","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","14","14","01","9,249,269","Funding is required for Imminent Danger Pay (IDP) due to later than planned implementation of the IDP location changes. This is an OCO budget requirement.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","02","Pay and Allowances of Enlisted","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","739","760","738,284","14","Funds are available due to lower than budgeted enlisted over-strength levels and a slight reduction in the grade structure of the over-strength. The Army currently projects execution of 25.2K non- enduring Active Component enlisted workyears compared to the funded request of 26.3K non-enduring enlisted workyears. Additionally, a shift in the Active Component enlisted grade structure is driving decreased requirements. Currently, the Army expects to pay more E-1s and fewer E-3’s than originally planned. This is Title XX OCO budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","01","Pay and Allowances of Officers","","Includes Transfer
Yes
","185,755","14","14","58.100","Funding is available due to 129 fewer mobilized reserves than anticipated. This is Title Ix OCO budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Operation and Maintenance","","","","2014","2011","01","Pay and Allowances of Officers","","Includes Transfer
Yes
","14","14","01","9,249,269","Funds are available due to an underexecution of 457 mobilized reserve component (RC) workyears from the budgeted 1,573 mobilized RC workyears. Identified funding includes base pay, retired pay accrual, social security taxes and basic allowance for housing. This is Title XX OCO budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Procurement","","","","2014","2011","01","Aircraft","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","13","15","01","35","Funds are required to procure two Cockpit Procedural Trainers (CPTs) to support Initial Entry Rotary Wing Pilot training at Fort Rucker, Alabama. Procurement of two upgraded CPTs now will negate the need to transfer and upgrade two CPTs from the Army National Guard (ARNG), thereby minimizing the impact to the ARNG during the transition period. This strategy negates the time and expense of tearing down, transporting, updating, and setting up the ARNG CPT and also minimizes the associated disruption of ARNG pilot training. Purchasing new CPTs specifically to fill the training base mission in lieu of requesting support from the ARNG aligns with the Army’s intent for the ARI to avoid taking assets from the","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","","","06","Engineer and Other Equipment","","SASC Denied
","13","15","06","59,005","Funds are required to support the Marine Corps initiative to reduce sexual assaults and other criminal activity by installing Closed Circuit Televisions. This is a base budget requirement. OUSD(C) adjustment to approved sources","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","Navy","2014","2011","05","Modification of Inservice Aircraft","0604735F","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","150.536","13","15","107,457","Funds are required to replace an obsolete and unsupportable Fiber Channel Communications Switching System with a reliable and sustainable Command, Control, Communications, Computers, and Intelligence (C41) onboard network capability for the C-32A aircraft to improve national senior leader ability to execute overseas contingency operations while airborne in the CENTCOM AOR and other Combatant Commands AORs. Nearly 25 percent of the aircraft sorties are into/within/from the CENTCOM AOR. This","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","02","Communications and Electronics Equipment","0605018A","SAC Denied
","13","15","02","2","Funds are available due to the cancellation of the Surface Launched Advanced Medium-Range Air-to-Air Missile (SLAMRAAM) program. Funds are no longer required. This is base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"Procurement","","","","2014","2011","02","Other Warships","0603635M","Includes Transfer
Yes
","44,844","18,594","13","17","Funds are available due to AEGIS contract award savings. This is a congressional special interest item. This is a base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","05","Modification of Inservice Aircraft","0604327F","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","150,536","13","15","109,630","Funds are available due to efficiencies realized in installation of the F-15 C/D air-to-ground radar upgrade (APG-63 version 3). This is base budget funding.","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2014","2011","","","","Includes Transfer
Yes

cmponent Sorat Nobo

ee Ee eee
Congressional Action Approved by Sec Def

po ee
","15","4","2","3","Funds are required for Integrated Base Defense (IBD) kitting of Non-Standard Equipment (NSE) to execute reconstitution and reset efforts to include replacing ancillary items in order to maintain the","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
"","","","","2013","2013","01","Aircraft","","SAC Denied
","13","15","01","47","Funds are available due to an additional $28.0 million in Multiyear II (MY ID) contract savings. The additional savings was generated from the exercise of the six FY 2013 OCO War Replacement Aircraft options and is over and above the original MY II savings of $810.0 million. This excess FY 2013 OCO funding cannot be used to accelerate procurement because it would violate the quantity by year terms of the multiyear contract. The balance ($21.510 million) of this available savings is being used as a source in","14-11_R_PA_Omnibus_2014_Request_Final.pdf"
