"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"","","","","2009","2026","7","Aircraft Support Equipment and Facilities","0604327F","Defense Space Reconnaissance Program","202,999","08","10","19,950","Funds are required to procure and replace unsupportable equipment for the Combat Electromagnetic Environment Simulators (CEESIM) at Eglin Air Force Base (AFB) and Tinker AFB. The CEESIMs are used to generate Defensive Management System (DMS) mission threat data files for deployment and deploying combat aircraft and for aircraft software development. The B-2 program manages three CEESIM hardware suites located at: (1) the Weapons System Support Center (WSSC) at Tinker AFB, OK; (2) Mission Data Test lab at Eglin AFB, FL; and (3) the contractor facility in Owego, NY. Designed in the 1980s, the CEESIMs specifications have been updated, and the Air Force has received a proposal to begin modernization. Failure to fund may cause aircraft to become non-mission capable in certain high threat environments as well as loss of capability to field future aircraft software updates. This effort is a new start.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2009","2026","1","Major Equipment","0305208L","Communications Equipment and Electronics","08","10","1","2","Funding is required to provide the Defense Airborne Imagery project low- bandwidth users access to the libraries of the National Geospatial-Intelligence Agency (NGA), which allows discovery and retrieval of imagery within operational timelines. Actions involve procurement of Image Access Solutions (IAS) servers and file storage for Afghanistan and Iraq. This is a MIP project.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"RDTE","","","","2009","2026","2","Communication and Electronic Equipment","","Yes
","08","10","2","758,261","Funds are available due to a lag in execution because the vendor’s monthly production capacity for Night Vision devices is less than previously projected.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2008","2008","5","Modification of Aircraft","","Yes
","32,802","10,802","08","10","Funding is available because congressional add was insufficient to execute the stated purpose. Congress appropriated $1.0 million in the Aircraft Procurement, Navy appropriation for a C-130 Aircraft Health Monitoring System (AHMS) development in FY 2008. This funding is insufficient to execute an upgrade to the legacy analog C-130 AHMS. The C-40A Program can utilize this funding for performance enhancements on their current AHMS. This reprogramming action realigns funds for this congressional add to the C-40 modification line item for execution. This item is a congressional special interest item.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2009","2026","","","0304260F","Yes
","08","10","1","277,999","Funds are available for a higher prioritize requirement as a result of efficiencies achieved in the procurement of SIGINT sensor. This is a MIP project.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2009","2026","1","Major Equipment","0305884L","SOF Small Arms and Weapons
","08","10","1","4,000","Funds are available as a result of the efficiencies achieved in the procurement of active airborne SIGINT payloads. This is a MIP project.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2008","2008","5","Permanent Change of Station","","HAC requires notification of ADA before implementing
","08","08","5","2","After the appropriation expired in October 2008, financial reports revealed that Permanent Change of Station (PCS) costs that provide funding for deployed personnel and their families (such as the mobile training/transition teams and individual augmentees who comprise the headquarters staff of Multinational Forces) in support of the overseas contingency operations have","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2008","2008","2","Communication and Electronics Equipment","","Yes
","72,180","08","10","2","The FY 2008 Overseas Contingency Operations supplemental funding for procurement of FBCB2 equipment is available due to testing problems and a delay in procurement of the KGV-72 encryption device. Procurement of the encryption device is scheduled for first quarter of FY 2010. Therefore, these funds are available for higher-priority requirements.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2007","2007","6","Aircraft Spares and Repair Parts","","","08","10","6","289,655","The FY 2007 Overseas Contingency Operations funds are required to support greater sparing requirements for the stand up of an additional CV-22 unit. The beddown preparations are under way for the second operational CV-22 unit located at Cannon Air Force Base in New Mexico, which will receive its first aircraft in FY 2010. Adjustments to spares requirements have been developed based on lessons learned from MV-22 and CV-22 base and operational experience in the war.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","Air Force","2007","2007","","","","Yes
","08","10","4","22","The FY 2007 Overseas Contingency Operations funds are available due to contracting savings from favorable negotiations of the V-22 Multiyear contract FY 2008 option.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","Air Force","2007","2007","1","Ammunition","","","07","09","1","155","Funds are required to procure 155mm Extended Range XM982 (Excalibur) ammunition, which is needed to meet current operational requirements. The Excalibur production program has a critical requirement for additional funding to address a reliability issue related to the inertial measurement unit IMU). This funding will resource the replacement of IMUs in XM982 rounds produced in 2007 and 2008 with a more reliable IMU, increasing overall system reliability and enabling the resumption of delivery of Excalibur projectiles to OEF and OIF. This action uses FY 2007 supplemental funding.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","Army","2009","2026","2","Other Warships","","Yes
","128,597","07","11","128,597","Funding is required to procure long leadtime material and engineering services for the AEGIS Combat System, as well as critical class standard equipment, to support construction of DDG 113.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","Navy","2009","2026","5","Modification of Inservice Aircraft","","Yes
","07","09","5","130","Funds are required to procure and replace two C-130 variant center wing boxes (CWBs) and provide required program management support. The service life of C-130 aircraft center wing sections are expiring between 2005-2020. This additional funding will reduce the amount of CWBs required to be procured in future years.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2009","2026","2","Special Operations Command","","SOF Communications Equipment and Electronic Systems
","07","09","2","146,446","Funding is required to procure joint base stations, SOF deployable nodes, tactical local area networks, and night vision devices for Marine Special Operations Command (MARSOC) personnel. Small Arms and Weapons 192,470 191,720 +144 191,864","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","","2007","2007","2","Ammunition","","","07","09","2","108,928","Funds in the signals line are available due to reductions in the use of aircraft flares in current operations because of upgrades to Common Missile Warning System software. Additionally, the Army has terminated procurement of the XM216 Aircraft Countermeasure Flare and is developing a solution to reduce the current three-flare strategy to a single or two-flare mix. Funds are from the FY 2007 supplemental.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","Army","2007","2007","2","Other Warships","","Yes
","128,597","07","11","128,597","Funds are available due to the decision to restart the DDG-51 production line. These FY 2007 funds were originally appropriated for DDG-51 Program Completion and Production Shutdown.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"Procurement","","","Navy","2009","2026","2","Airlift Aircraft","","Yes
","39,300","07","09","2","Funds are available from the following C-17 efforts:","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2009","2026","2","Special Operations Command","","Yes
","07","09","2","27,653","Funding is available based on a change in CONOPS for the Rigid Hull Inflatable Boat requirement for MARSOC personnel. Funds can be reprogrammed with no risk to the program.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","","2003","2003","3","Amphibious Ships","","","03","11","3","17","Funding is required for increased rework costs on the USS NEW YORK (LPD 21).","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
"","","","Navy","","","2","Other Warships","","","03","11","2","1","Funds are available based on a review of the execution status of the above programs.","09-26_PA_Omnibus_%202009_as_of_10_14_09.pdf"
