"fiscal_year_start","fiscal_year_end","appropriation_category","branch","budget_activity_number","budget_activity_title","reprogramming_amount","direction","explanation","file","type","fiscal_year","program_element","budget_amount"
"","","Procurement","Navy","","","","","","FY_2020_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title IX","1177251.0"
"","","RDTE","Air Force","","","","","","FY_2020_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title IX","22132333.0"
"","","Operation and Maintenance","Air Force","","","","","","FY_2020_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title IX","1165373.0"
"","","Operation and Maintenance","Air Force","","","","","","FY_2020_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title IX","3115073.0"
"","","Procurement","Air Force","","","","","","FY_2020_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title IX","1066224.0"
"","","Operation and Maintenance","Army","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title II","1000000.0"
"","","Operation and Maintenance","Navy","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title II","1028198.0"
"","","Operation and Maintenance","Air Force","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Transfer from title II","1000000.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Intelligence","1806460.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Maintenance","1040048.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Operational Support","1167283.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2021_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Theater Forces","3356129.0"
"","","Research, Development","Air Force","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Classified Programs","17872589.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Defense Contract Management Agency","1438296.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Defense Information Systems Agency","1913734.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Defense Security Cooperation Agency","2067446.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Department of Defense Education Activity","3138345.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Office of the Secretary of Defense","1766614.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Intelligence","1614757.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Maintenance","1081869.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Operational Support","1202060.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Special Operations Command Theater Forces","3175789.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Defense Security Cooperation Agency","2018258.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Ukraine Presidential Drawdown","3500000.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2022_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Other Supplemental(s)","6200000.0"
"","","Operation and Maintenance","Army","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Ukraine Supplementals","3067088.0"
"","","Procurement","Army","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Ukraine Supplementals","1227000.0"
"","","Operation and Maintenance","Navy","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Ukraine Supplementals","1185591.0"
"","","Research, Development","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Classified Programs","18809259.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Defense Contract Management Agency","1506300.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Defense Counterintelligence and Security Agency","1000584.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Defense Information Systems Agency","2266729.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Defense Security Cooperation Agency","2445669.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Undistributed","13621750.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Ukraine Supplementals","13380000.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Department of Defense Education Activity","3276276.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Office of the Secretary of Defense","2239072.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Special Operations Command Intelligence","1513025.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Special Operations Command Maintenance","1207842.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Special Operations Command Operational Support","1299309.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Special Operations Command Theater Forces","3314770.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Defense Security Cooperation Agency","14244593.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Ukraine Supplementals","12000000.0"
"","","Operation and Maintenance","Defense-Wide","","","","","","FY_2023_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","2023","Red Hill Recovery Transfer Funds","1000000.0"
"","","Operation and Maintenance","Navy","","","","","","FY_2025_DD_1414_Base_for_Reprogramming_Actions.pdf","baseline","Unknown","Supplemental Appropriation","1454153.0"
